Code,Nome,Nome fantasia,Governança
APPS,AUTOPISTA PLANALTO SUL SA,AUTOPLANSUL,-
APRB,AUTOPISTA REGIS BITTENCOURT SA,AUTOREGIS,-
ATRD,AUTOSTRADE CONCESSOES E PARTICIPAÇÕES BRASIL LTDA.,AUTOSTRADE,-
AVGE,AVG EMPREENDIMENTOS MINERÁRIOS S.A,AVGEMPREEND,-
ASII,AXIS SOLAR III EMPREENDIMENTOS E PARTICIPAÇÕES S.A,AXISSOLARIII,-
AXSO,AXIS SOLAR IX EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,AXISSOLAR IX,-
AXVS,AXIS SOLAR V EMPREENDIMENTOS E PARTICIPACOES,AXIS SOLAR V,-
AXEP,AXIS SOLAR X E E PARTICIPACOES S.A.,AXIS SOLAR X,-
AXS3,AXS ENERGIA UFV GOIAS SPE S.A.,AXS GOIAS,-
AXSD,AXS ENERGIA UNIDADE 02 S.A.,AXSENERGIA2,-
AXSC,AXS ENERGIA UNIDADE 05 S.A.,AXS ENERGIA,-
AXSE,AXS ENERGIA UNIDADE 06 S.A.,AXS ENERG,-
AXSU,AXS ENERGIA UNIDADE 07 S.A,AXS VII,-
AXS8,AXS ENERGIA UNIDADE 08 S.A,AXS VIII,-
AXS4,AXS ENERGIA UNIDADE 10 SPE S.A,AXS 10SPE,-
PAXS,AXS PARTICIPAÇÕES S.A.,AXS PART,-
AZEV,AZEVEDO E TRAVASSOS S.A.,AZEVEDO,-
AZLA,AZUL LINHAS AEREAS BRASILEIRAS S.A.,AZULAEREAS,-
AZUL,AZUL S.A.,AZUL,N2
AZZA,AZZAS 2154 S.A.,AZZAS 2154,NM
BAEP,B.A. -EMPREENDIMENTOS E PARTICIPACOES S/A,B A EMPREEND,-
BCPA,B100 CONTROLE E PARTICIPACOES S.A.,B100 CONTROL,-
B3SA,B3 S.A. - BRASIL. BOLSA. BALCÃO,B3,NM
BBLN,BABILONIA HOLDING S.A.,BABILONIA,-
BAHR,BAHEMA EDUCAÇÃO RJ LTDA,BAHEMAEDU RJ,-
BAHI,BAHEMA EDUCAÇÃO S.A.,BAHEMA,MA
PCHB,BAHIA PCH I S/A,BAHIAPCH,-
BMBO,BAMBOO SECURITIZADORA S.A,BAMBOO SA,-
BBHI,BANCO BOCOM BBM S/A,BOCOMBBMBM,-
BCRD,BANCO ABN AMRO S.A.,ABNBM,-
AGBK,BANCO AGIBANK S.A.,AGIBANKBC,-
LMON,BANCO ANDBANK (BRASIL) S/A,ANDBANKBM,-
BBMF,BANCO B3 S.A.,BCOB3BC,-
BDEP,BANCO BANDEPE S/A,BANDEPEBM,-
BMGB,BANCO BMG S.A.,BANCO BMG,N1
BIBI,BANCO BRADESCARD S.A.,BRADESCARDBM,-
IAME,BANCO BRADESCO CARTOES S/A,BRADCARBM,-
ZYQZ,BANCO BRADESCO FINANCIAMENTOS S/A,BRADESCOFINA,-
BGNL,BANCO BRASILEIRO DE CREDITO S.A,JSLAM,-
BCXG,BANCO CAIXA GERAL BRASIL S/A,CAIXAGERALBM,-
BCAP,BANCO CAPITAL S/A,CAPITALBM,-
BCGL,BANCO CARGILL S/A,CARGILLBM,-
CTPL,BANCO CATERPILLAR S/A,CATERPILLARB,-
ITAM,BANCO CBSS S.A.,CBSSBM,-
BBGN,BANCO CETELEM S/A,BCOCETELEMBM,-
BGEC,BANCO CIFRA S/A,CIFRABM,-
CITI,BANCO CITIBANK S/A,CITIBM,-
CLAS,BANCO CLASSICO S/A,CLASSICOBM,-
CNHC,BANCO CNH INDUSTRIAL CAPITAL S/A,CNHCAPITALBM,-
SCDI,BANCO COOPERATIVO SICREDI S/A,SICREDIBM,-
BCLB,BANCO CREDIT AGRICOLE BRASIL S/A,AGRICOLEBM,-
BPNB,BANCO CREFISA S.A.,CREFISABC,-
BCSF,BANCO CSF S/A,CSFBM,-
BCHN,BANCO DA CHINA BRASIL S/A,CHINABM,-
BIFB,BANCO DE INVESTIMENTOS CREDIT SUISSE BRASIL S/A,SUISSEBI,-
BNAR,BANCO DE LA NACION ARGENTINA,LANACIONARGE,-
LAGE,BANCO DE LAGE LANDEN BRASIL S/A,LAGEBM,-
BAJR,BANCO DIGIMAIS S/A,B.A.PARTICIP,-
FTOR,BANCO FATOR S/A,FATORBM,-
